sample,subject,level,laterality,sex,nerve_diameter_um,n_fascicles,fascicle_id,centroid_y_um,centroid_z_um,diameter_um,area_um2
P15-2,sub-15,cervical,left,female,2179.44,39,5,645.35,-444.91,212.29,35395.29
P15-2,sub-15,cervical,left,female,2179.44,39,6,-1622.94,-50.13,208.73,34219.9
P15-2,sub-15,cervical,left,female,2179.44,39,7,-1331.45,-95.22,207.6,33848.87
P15-2,sub-15,cervical,left,female,2179.44,39,8,-1030.41,-206.42,206.78,33580.8
P15-2,sub-15,cervical,left,female,2179.44,39,9,-278.24,322.95,206.12,33369.15
P15-2,sub-15,cervical,left,female,2179.44,39,10,-511.8,167.73,201.1,31763.78
P15-2,sub-15,cervical,left,female,2179.44,39,11,291.01,23.3,194.37,29672.9
P15-2,sub-15,cervical,left,female,2179.44,39,12,139.09,226.12,191.17,28703.62
P15-2,sub-15,cervical,left,female,2179.44,39,13,-115.23,-203.87,189.3,28145.28
P15-2,sub-15,cervical,left,female,2179.44,39,14,-668.03,286.26,189.02,28061.22
P15-2,sub-15,cervical,left,female,2179.44,39,15,-1107.47,215.95,188.94,28038.72
P15-2,sub-15,cervical,left,female,2179.44,39,16,226.18,-251.45,185.46,27012.87
P15-2,sub-15,cervical,left,female,2179.44,39,17,-187.11,-426.62,181.46,25860.62
P15-2,sub-15,cervical,left,female,2179.44,39,18,743.82,-209.03,178.09,24909.69
P15-2,sub-15,cervical,left,female,2179.44,39,19,-499.39,-299.02,176.95,24592.07
P15-2,sub-15,cervical,left,female,2179.44,39,20,1372.7,-247.43,174.13,23815.63
P15-2,sub-15,cervical,left,female,2179.44,39,21,-146.41,90.34,171.96,23223.58
P15-2,sub-15,cervical,left,female,2179.44,39,22,460.53,178.99,169.88,22667.01
P15-2,sub-15,cervical,left,female,2179.44,39,23,-880.31,249.91,155.38,18961.29
P15-2,sub-15,cervical,left,female,2179.44,39,24,25.39,-439.29,152.37,18234.93
P15-2,sub-15,cervical,left,female,2179.44,39,25,365.14,-381.01,152.05,18158.88
P15-2,sub-15,cervical,left,female,2179.44,39,26,1169.12,-307.39,151.93,18129.15
P15-2,sub-15,cervical,left,female,2179.44,39,27,1048.66,-355.59,149.93,17655.75
P15-2,sub-15,cervical,left,female,2179.44,39,28,523.98,-297.41,138.74,15118.68
P15-2,sub-15,cervical,left,female,2179.44,39,29,463.6,-57.22,132.26,13738.48
P15-2,sub-15,cervical,left,female,2179.44,39,30,590.11,-41.26,127.88,12844.25
P15-2,sub-15,cervical,left,female,2179.44,39,31,-960.85,-24.4,119.75,11262.48
P15-2,sub-15,cervical,left,female,2179.44,39,32,-41.74,193.6,114.6,10315.47
P15-2,sub-15,cervical,left,female,2179.44,39,33,999.85,-257.7,108.59,9260.91
P15-2,sub-15,cervical,left,female,2179.44,39,34,-414.16,255.35,103.03,8337.52
P15-2,sub-15,cervical,left,female,2179.44,39,35,906.74,-335.68,102.48,8248.73
P15-2,sub-15,cervical,left,female,2179.44,39,36,-410.33,-203.76,96.66,7338.27
P15-2,sub-15,cervical,left,female,2179.44,39,37,-92.34,273.68,95.47,7158.32
P15-2,sub-15,cervical,left,female,2179.44,39,38,297.83,251.16,65.71,3391.53
P15-2,sub-15,cervical,left,female,2179.44,39,39,-1190.44,310.93,54.18,2305.31
